Q1_Gender,Q2_Living_Area,Q3_Maritial_Status,SMA1,SMA2,SMA3,SMA4,SMA5,SMA6,SMA7,SMA8,SMA9,SMA10,Scale_value,Add_lebel
1,1,2,4,5,1,3,5,2,2,4,5,3,31,2
1,1,2,3,2,1,5,5,1,1,2,5,1,25,2
2,1,2,3,2,1,1,1,1,1,1,1,1,12,1
1,2,2,2,5,5,2,3,1,3,4,4,1,29,2
1,1,2,1,4,3,1,2,1,1,1,1,1,15,1
2,2,2,3,3,4,1,5,1,3,3,3,1,26,2
1,2,2,4,5,2,2,1,4,1,1,2,1,22,2
2,1,2,5,4,3,3,4,4,2,1,3,1,29,2
2,2,2,4,5,2,1,3,1,1,3,4,1,24,2
2,1,2,2,2,1,1,1,1,1,1,1,1,11,1
1,1,2,5,4,2,2,3,3,2,1,4,1,26,2
1,2,2,5,4,1,1,4,1,1,3,2,1,22,2
1,1,2,4,3,2,1,3,2,1,1,3,2,20,2
1,1,2,5,5,3,4,4,5,3,5,5,2,39,2
1,1,2,3,5,2,1,1,1,1,1,4,1,19,1
1,1,2,4,2,4,3,3,1,1,1,3,1,22,2
1,1,2,5,5,5,3,3,5,5,5,5,1,41,3
1,1,2,5,5,3,3,5,4,2,5,5,2,37,2
2,2,2,3,2,4,1,1,3,3,2,2,2,21,2
2,2,2,5,5,5,5,5,5,5,5,5,1,45,3
2,1,2,3,4,2,1,1,2,1,1,2,1,17,1
1,2,2,3,5,2,4,5,2,2,5,5,1,33,2
1,1,2,5,5,1,3,3,3,3,3,3,1,29,2
1,1,1,3,3,2,1,2,4,1,1,4,1,21,2
1,1,2,4,1,1,1,1,1,1,1,3,1,14,1
2,2,2,5,5,5,5,5,1,1,3,5,3,35,2
2,2,2,2,5,1,5,2,5,1,4,5,1,30,2
1,1,2,4,4,2,1,2,1,1,1,1,1,17,1
2,1,2,2,2,1,1,5,1,1,1,3,1,17,1
1,2,2,2,4,3,3,3,2,3,4,4,2,28,2
2,1,2,3,4,2,1,3,5,1,1,5,1,25,2
2,1,2,3,5,5,5,3,3,4,3,4,1,35,2
2,1,2,5,3,2,3,1,5,3,2,5,1,29,2
2,1,2,4,3,1,1,1,5,2,1,2,1,20,2
